iter	Passed	Remaining
1061	8988	1168
1062	8997	1159
1063	9006	1151
1064	9015	1142
1065	9025	1134
1066	9034	1126
1067	9043	1117
1068	9053	1109
1069	9062	1101
1070	9071	1092
1071	9080	1084
1072	9088	1075
1073	9098	1067
1074	9106	1058
1075	9117	1050
1076	9127	1042
1077	9136	1034
1078	9147	1025
1079	9159	1017
1080	9170	1009
1081	9180	1001
1082	9193	993
1083	9203	984
1084	9214	976
1085	9223	968
1086	9234	959
1087	9244	951
1088	9255	943
1089	9265	935
1090	9276	926
1091	9287	918
1092	9298	910
1093	9310	902
1094	9320	893
1095	9330	885
1096	9341	877
1097	9351	868
1098	9361	860
1099	9370	851
1100	9380	843
1101	9390	835
1102	9401	826
1103	9412	818
1104	9425	810
1105	9436	802
1106	9449	793
1107	9460	785
1108	9476	777
1109	9495	769
1110	9510	761
1111	9522	753
1112	9534	745
1113	9545	736
1114	9559	728
1115	9569	720
1116	9581	711
1117	9595	703
1118	9605	695
1119	9617	686
1120	9631	678
1121	9648	670
1122	9661	662
1123	9672	653
1124	9682	645
1125	9693	637
1126	9704	628
1127	9714	620
1128	9725	611
1129	9735	603
1130	9745	594
1131	9756	586
1132	9765	577
1133	9774	568
1134	9783	560
1135	9792	551
1136	9801	543
1137	9811	534
1138	9820	525
1139	9828	517
1140	9837	508
1141	9846	500
1142	9854	491
1143	9863	482
1144	9872	474
1145	9881	465
1146	9889	456
1147	9897	448
1148	9906	439
1149	9915	431
1150	9924	422
1151	9933	413
1152	9942	405
1153	9952	396
1154	9961	388
1155	9970	379
1156	9978	370
1157	9987	362
1158	9995	353
1159	10004	344
1160	10013	336
1161	10022	327
1162	10032	319
1163	10041	310
1164	10050	301
1165	10059	293
1166	10068	284
1167	10078	276
1168	10087	267
1169	10098	258
1170	10107	250
1171	10116	241
1172	10125	233
1173	10134	224
1174	10142	215
1175	10151	207
1176	10160	198
1177	10170	189
1178	10179	181
1179	10188	172
1180	10208	164
1181	10217	155
1182	10227	146
1183	10237	138
1184	10247	129
1185	10258	121
1186	10267	112
1187	10277	103
1188	10287	95
1189	10297	86
1190	10309	77
1191	10322	69
1192	10331	60
1193	10341	51
1194	10351	43
1195	10369	34
1196	10380	26
1197	10392	17
1198	10403	8
1199	10413	0
